数据库：月度数据
时间：最近36个月
指标,2025年11月,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月
居民消费价格指数(上年同月=100),100.7,100.2,99.7,99.6,100.0,100.1,99.9,99.9,99.9,99.3,100.5,100.1,100.2,100.3,100.4,100.6,100.5,100.2,100.3,100.3,100.1,100.7,99.2,99.7,99.5,99.8,100.0,100.1,99.7,100.0,100.2,100.1,100.7,101.0,102.1,101.8
食品烟酒类居民消费价格指数(上年同月=100),100.3,98.4,97.4,97.5,99.2,100.1,100.1,100.3,99.4,98.1,100.6,100.0,100.9,102.0,102.3,102.1,100.2,98.9,99.0,98.6,98.6,99.9,96.4,98.0,97.8,97.9,98.5,99.5,99.5,102.0,101.2,100.8,102.1,102.1,104.7,103.7
衣着类居民消费价格指数(上年同月=100),101.9,101.7,101.7,101.8,101.7,101.6,101.5,101.3,101.3,101.2,101.1,101.2,101.1,101.1,101.3,101.4,101.5,101.5,101.6,101.6,101.6,101.6,101.6,101.4,101.3,101.1,101.1,101.1,101.0,100.9,100.9,100.9,100.8,100.7,100.5,100.5
居住类居民消费价格指数(上年同月=100),100.0,100.1,100.1,100.1,100.1,100.1,100.1,100.1,100.1,100.1,100.1,100.1,99.9,99.9,99.9,100.0,100.1,100.2,100.2,100.2,100.2,100.2,100.3,100.3,100.3,100.3,100.2,100.1,100.1,100.0,99.8,99.8,99.7,99.9,99.9,99.8
生活用品及服务类居民消费价格指数(上年同月=100),102.1,101.9,102.2,101.8,101.2,100.7,100.1,100.2,100.6,99.3,98.9,99.3,99.7,100.1,100.1,100.2,100.7,100.9,100.8,101.4,101.0,100.5,101.0,100.0,99.5,99.4,99.6,99.5,99.8,99.5,99.9,100.1,100.7,101.4,101.6,101.5
交通通信类居民消费价格指数(上年同月=100),97.7,98.5,98.0,97.6,96.9,96.3,95.7,96.1,97.4,97.5,99.4,97.8,96.4,95.2,95.9,97.3,99.4,99.7,99.8,100.1,98.7,99.6,97.6,97.8,97.6,99.1,98.7,97.9,95.3,93.5,96.1,96.7,98.1,100.1,102.0,102.8
教育文化娱乐类居民消费价格指数(上年同月=100),100.8,100.9,100.8,101.0,100.9,101.0,100.9,100.7,100.8,99.5,101.7,100.9,101.0,100.8,100.6,101.3,101.7,101.7,101.7,101.8,101.8,103.9,101.3,101.8,101.8,102.3,102.5,102.5,102.4,101.5,101.7,101.9,101.4,101.2,102.4,101.4
医疗保健类居民消费价格指数(上年同月=100),101.6,101.4,101.1,100.9,100.5,100.4,100.3,100.2,100.1,100.2,100.7,100.9,101.1,101.1,101.2,101.3,101.4,101.5,101.5,101.6,101.5,101.5,101.3,101.4,101.3,101.3,101.3,101.2,101.2,101.1,101.1,101.0,101.0,101.0,100.8,100.6
其他用品及服务类居民消费价格指数(上年同月=100),114.2,112.8,109.9,108.6,108.0,108.1,107.3,106.6,106.2,106.5,105.4,104.9,105.2,104.7,103.5,103.4,104.0,104.0,103.6,103.8,102.7,103.0,102.9,102.9,103.0,103.6,103.9,103.8,104.1,102.4,103.1,103.5,102.5,102.6,103.1,102.8
非食品居民消费价格指数(上年同月=100),100.8,100.9,100.7,100.5,100.3,100.1,100.0,100.0,100.2,99.9,100.5,100.2,100.0,99.7,99.8,100.2,100.7,100.8,100.8,100.9,100.7,101.1,100.4,100.5,100.4,100.7,100.7,100.5,100.0,99.4,100.0,100.1,100.3,100.6,101.2,101.1
消费品居民消费价格指数(上年同月=100),100.6,99.8,99.2,99.0,99.6,99.8,99.5,99.7,99.6,99.1,100.1,99.8,100.0,100.2,100.5,100.7,100.5,99.9,100.0,100.0,99.6,99.9,98.3,98.9,98.6,98.9,99.1,99.3,98.7,99.5,99.7,99.6,100.5,101.2,102.8,102.6
服务居民消费价格指数(上年同月=100),100.7,100.8,100.6,100.6,100.5,100.5,100.5,100.3,100.3,99.6,101.1,100.5,100.4,100.4,100.2,100.5,100.6,100.7,100.8,100.8,100.8,101.9,100.5,101.0,101.0,101.2,101.3,101.3,101.2,100.7,100.9,101.0,100.8,100.6,101.0,100.6
不包括食品和能源居民消费价格指数(上年同月=100),101.2,101.2,101.0,100.9,100.8,100.7,100.6,100.5,100.5,99.9,100.6,100.4,100.3,100.2,100.1,100.3,100.4,100.6,100.6,100.7,100.6,101.2,100.4,100.6,100.6,100.6,100.8,100.8,100.8,100.4,100.6,100.7,100.7,100.6,101.0,100.7
数据来源：国家统计局
